action,object,index,info,date,time
NODE_CREATE,Concentration of Na+ and Cl- in water,3,N/A,7/17/2019, 11:12:39 AM,
NODE_CREATE,Evaporation rate of water,1,N/A,7/17/2019, 11:12:40 AM,
ARROW_CREATE,Water temperature::Evaporation rate of water,-2::1,N/A,7/17/2019, 11:12:42 AM,
ARROW_CHANGE_LABEL,Water temperature::Evaporation rate of water,-2::1,Definition,7/17/2019, 11:12:44 AM,
NODE_CHANGE_DIRECTION,Evaporation rate of water,1,decrease,7/17/2019, 11:12:45 AM,
ARROW_CREATE,Evaporation rate of water::Concentration of Na+ and Cl- in water,1::3,N/A,7/17/2019, 11:12:46 AM,
ARROW_CHANGE_LABEL,Evaporation rate of water::Concentration of Na+ and Cl- in water,1::3,Definition,7/17/2019, 11:12:47 AM,
NODE_CHANGE_DIRECTION,Concentration of Na+ and Cl- in water,3,decrease,7/17/2019, 11:12:49 AM,
ARROW_CREATE,Concentration of Na+ and Cl- in water::Amount crystal growth on string,3::-1,N/A,7/17/2019, 11:12:50 AM,
ARROW_CHANGE_LABEL,Concentration of Na+ and Cl- in water::Amount crystal growth on string,3::-1,Cause: Electric force,7/17/2019, 11:12:55 AM,
