action,object,index,info,date,time
NODE_CREATE,Amount of water in jar,2,N/A,7/17/2019, 3:30:27 PM,
NODE_CREATE,Concentration of Na+ and Cl- in water,3,N/A,7/17/2019, 3:30:28 PM,
ARROW_CREATE,Water temperature::Amount of water in jar,-2::2,N/A,7/17/2019, 3:30:33 PM,
ARROW_CREATE,Amount of water in jar::Concentration of Na+ and Cl- in water,2::3,N/A,7/17/2019, 3:30:39 PM,
ARROW_CREATE,Concentration of Na+ and Cl- in water::Amount crystal growth on string,3::-1,N/A,7/17/2019, 3:30:41 PM,
ARROW_CHANGE_LABEL,Water temperature::Amount of water in jar,-2::2,Definition,7/17/2019, 3:30:43 PM,
ARROW_CHANGE_LABEL,Amount of water in jar::Concentration of Na+ and Cl- in water,2::3,Cause: Energy to escape electric forces,7/17/2019, 3:30:46 PM,
NODE_CHANGE_DIRECTION,Amount of water in jar,2,increase,7/17/2019, 3:30:48 PM,
ARROW_CHANGE_LABEL,Concentration of Na+ and Cl- in water::Amount crystal growth on string,3::-1,Cause: Electric force,7/17/2019, 3:30:50 PM,
NODE_CHANGE_DIRECTION,Concentration of Na+ and Cl- in water,3,decrease,7/17/2019, 3:30:53 PM,
